SVSPP,scientific_name,ITISSPP,NESPP3,SPECIES_ITIS,COMMON_NAME,SCIENTIFIC_NAME
NA,NA,NA,487,160318,"SHARK,BLACKTIP",CARCHARHINUS LIMBATUS
NA,NA,NA,348,159977,"SHARK,NURSE",GINGLYMOSTOMA CIRRATUM
NA,NA,NA,466,172401,"TUNA,SKIPJACK",KATSUWONUS PELAMIS
NA,NA,NA,743,079342,"CLAM,BLOOD ARC",ANADARA OVALIS
NA,NA,NA,426,168093,SUNFISHES,CENTRARCHIDAE
NA,NA,NA,472,172451,WAHOO,ACANTHOCYBIUM SOLANDRI
NA,NA,NA,345,169239,"SEA TROUT,SPOTTED",CYNOSCION NEBULOSUS
NA,NA,NA,796,079611,"SCALLOP,UNC",PECTINIDAE
NA,NA,NA,235,170335,"MULLET,STRIPED",MUGIL CEPHALUS
NA,NA,NA,334,169238,"SEA TROUT,UNC",CYNOSCION SPP
NA,NA,NA,816,173749,"TURTLES,UNC",TESTUDINES
NA,NA,NA,330,169207,"PORGY,RED",PAGRUS PAGRUS
NA,NA,NA,735,096106,"SHRIMP,UNC (CARIDEA)",CARIDEA
NA,NA,NA,165,172564,HARVESTFISHES,PEPRILUS 
NA,NA,NA,165,172570,HARVESTFISH,PEPRILUS ALEPIDOTUS
NA,NA,NA,715,098417,"CRAB,SPIDER",MAJIDAE
NA,NA,NA,84,168165,CRAPPIE,POMOXIS
NA,NA,NA,67,163997,"CATFISH,BLUE",ICTALURUS FURCATUS
NA,NA,NA,513,167914,WRECKFISH,POLYPRION AMERICANUS
NA,NA,NA,234,170333,MULLETS,MUGILIDAE
NA,NA,NA,445,168548,"TILEFISH,SAND",MALACANTHUS PLUMIERI
NA,NA,NA,69,164157,CATFISHES (SEA),ARIIDAE  
NA,NA,NA,358,159926,"SHARK,LONGFIN MAKO",ISURUS PAUCUS
NA,NA,NA,779,073795,"WHELK,WAVED ",BUCCINUM UNDATUM
NA,NA,NA,799,079737,"SCALLOP,BAY",ARGOPECTEN IRRADIANS
NA,NA,NA,68,163998,"CATFISH,CHANNEL",ICTALURUS PUNCTATUS 
NA,NA,NA,517,168469,"PERCH,YELLOW",PERCA FLAVESCENS
